quote,author,tag
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,inspirational
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,inspirational
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,inspirational
“It is never too late to be what you might have been.”,George Eliot,inspirational
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,inspirational
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,inspirational
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,inspirational
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,life
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,life
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,life
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,life
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,life
“Life is what happens to us while we are making other plans.”,Allen Saunders,life
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,life
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,life
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,life
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,life
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,humor
"“A day without sunshine is like, you know, night.”",Steve Martin,humor
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,humor
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,humor
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,humor
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,humor
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,humor
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,books
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,books
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,books
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,books
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,books
“There is no friend as loyal as a book.”,Ernest Hemingway,books
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,books
“′Classic′ - a book which people praise and don't read.”,Mark Twain,books
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,books
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,books
