id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90340.0,1781894307530,1,1891508389643,67993024393.0,91777.0,88403.0,1937.29,2.19143,26487409460.0,1.5089,19783037.0,21000000.0,21000000.0,93477.0,-3.32441,2024-11-13T16:15:35.520Z,67.81,133170.73747,2013-07-06T00:00:00.000Z,,2024-11-16T15:55:07.289Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3135.35,377266553719,2,377266553719,32065547177.0,3200.21,3016.77,106.92,3.53055,11302880704.0,3.08853,120421301.457553,120421301.457553,,4878.26,-35.52913,2021-11-10T14:24:19.604Z,0.432979,726276.52136,2015-10-20T00:00:00.000Z,"{'times': 45.42016183364017, 'currency': 'btc', 'percentage': 4542.016183364017}",2024-11-16T15:55:09.991Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,127160926042,3,127160926042,70818107625.0,1.004,0.997479,0.00027718,0.02769,-390835675.80278015,-0.30641,127364484596.245,127364484596.245,,1.32,-24.44757,2018-07-24T00:00:00.000Z,0.572521,74.60157,2015-03-02T00:00:00.000Z,,2024-11-16T15:55:17.615Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,214.82,101072305508,4,126012015913,7201334938.0,221.39,208.28,6.48,3.10881,2667380193.0,2.71062,471989008.394,588452852.023335,,259.96,-17.51483,2021-11-06T21:54:35.825Z,0.500801,42716.95788,2020-05-11T19:35:23.449Z,,2024-11-16T15:55:15.812Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,621.7,90497454335,5,90497454335,1748815213.0,629.69,606.69,15.01,2.47382,1682346521.0,1.89421,145887575.79,145887575.79,200000000.0,717.48,-13.19132,2024-06-06T14:10:59.816Z,0.0398177,1564106.1187,2017-10-19T00:00:00.000Z,,2024-11-16T15:55:05.868Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.1,62237681630,6,109306589258,22649600470.0,1.22,0.867456,0.230804,26.525,12584435828.0,25.34464,56931242174.0,99987013354.0,100000000000.0,3.4,-67.04428,2018-01-07T00:00:00.000Z,0.00268621,41593.87422,2014-05-22T00:00:00.000Z,,2024-11-16T15:55:14.461Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.364537,53422394417,7,53427434518,11225024599.0,0.388871,0.356766,0.00684396,1.91336,662250479.0,1.25521,146802636383.705,146816486383.705,,0.731578,-50.07528,2021-05-08T05:08:23.458Z,8.69e-05,420179.12007,2015-05-06T00:00:00.000Z,,2024-11-16T15:55:14.540Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,37035557492,8,37035572594,7372971454.0,1.003,0.997429,0.00131585,0.13175,184390945.0,0.50037,37077500479.2861,37077515598.3948,,1.17,-14.79402,2019-05-08T00:40:28.300Z,0.877647,13.85172,2023-03-11T08:02:13.981Z,,2024-11-16T15:55:18.007Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3134.11,30573013250,9,30573013250,105115753.0,3197.35,3016.15,113.64,3.76232,887738088.0,2.9905,9785325.17129655,9785325.17129655,,4829.57,-35.02864,2021-11-10T14:40:47.256Z,482.9,549.79545,2020-12-22T04:08:21.854Z,,2024-11-16T15:55:15.509Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.750406,26830267812,10,33749166083,6385932919.0,0.800594,0.649283,0.099687,15.31955,3489712238.0,14.95128,35774574357.9933,45000000000.0,45000000000.0,3.09,-75.11788,2021-09-02T06:00:10.474Z,0.01925275,3889.50293,2020-03-13T02:22:55.044Z,,2024-11-16T15:55:10.203Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.198969,17159197545,11,17159211288,1290018196.0,0.203733,0.184243,0.01457444,7.90394,1181222382.0,7.39282,86379004926.8945,86379074108.4776,,0.231673,-13.9229,2018-01-05T00:00:00.000Z,0.00180434,10952.07557,2017-11-12T00:00:00.000Z,"{'times': 103.72053291061205, 'currency': 'usd', 'percentage': 10372.053291061206}",2024-11-16T15:55:18.316Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,2.416e-05,14206544894,12,14212619482,2243186450.0,2.598e-05,2.328e-05,8.41927e-07,3.61086,481073837.0,3.50497,589260503373337.2,589512465758889.6,,8.616e-05,-71.87149,2021-10-28T03:54:55.568Z,5.6366e-11,42995715.36666,2020-11-28T11:26:25.838Z,,2024-11-16T15:55:16.195Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.59,14193651775,13,28519137137,593576848.0,5.71,5.3,0.257459,4.82596,560632883.0,4.11232,2545861185.06941,5115368857.90059,,8.25,-31.74686,2024-06-15T00:36:51.509Z,0.519364,984.66281,2021-09-21T00:33:11.092Z,,2024-11-16T15:55:17.982Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,34.67,14115576840,14,15501761819,880673659.0,35.48,31.4,3.23,10.28964,1312295276.0,10.24968,407353243.192938,447356351.333473,720000000.0,144.96,-75.9462,2021-11-21T14:18:56.538Z,2.8,1144.83697,2020-12-31T13:15:21.540Z,,2024-11-16T15:55:16.127Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3733.93,13481051418,15,13481051418,81469380.0,3779.26,3583.3,125.71,3.48407,433882290.0,3.32549,3603775.12276181,3603775.12276181,,7256.02,-48.51843,2022-05-13T15:09:54.509Z,558.54,568.79956,2022-05-13T01:36:45.053Z,,2024-11-16T15:55:16.988Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,90084.0,13221382752,16,13221382752,236479097.0,91515.0,88350.0,1734.74,1.9635,280977230.0,2.17132,146734.42599595,146734.42599595,146734.42599595,92913.0,-2.83789,2024-11-13T18:55:22.275Z,3139.17,2775.78694,2019-04-02T00:00:00.000Z,,2024-11-16T15:55:17.344Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.64,10320657000,17,36266904956,2479737569.0,3.91,3.28,0.26739,7.93242,813870718.0,8.56094,2845750695.58389,10000000000.0,10000000000.0,3.91,-6.94579,2024-11-16T10:25:24.612Z,0.364846,898.04674,2023-10-19T10:40:30.078Z,,2024-11-16T15:55:17.130Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3136.4,9197302096,18,9197302096,975242363.0,3199.28,3016.21,107.65,3.55418,336570266.0,3.79845,2937251.84977923,2937251.84977923,,4799.89,-34.39173,2021-11-09T00:00:00.000Z,82.1,3735.56132,2018-12-15T00:00:00.000Z,,2024-11-16T15:55:17.769Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,454.85,8969412038,19,9518266192,651824528.0,464.32,418.8,35.64,8.50263,658962743.0,7.92933,19789071.7716508,21000000.0,21000000.0,3785.82,-87.90062,2017-12-20T00:00:00.000Z,76.93,495.38813,2018-12-16T00:00:00.000Z,,2024-11-16T15:55:06.015Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,14.16,8872161940,20,14153565200,866344640.0,14.45,13.2,0.947135,7.16871,553588879.0,6.65485,626849971.3083414,1000000000.0,1000000000.0,52.7,-73.02025,2021-05-10T00:13:57.214Z,0.148183,9494.48391,2017-11-29T00:00:00.000Z,,2024-11-16T15:55:08.301Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,2.093e-05,8747839988,21,8747839988,7901959545.0,2.365e-05,2.03e-05,6.29647e-07,3.10159,211263057.0,2.4748,420690000000000.0,420690000000000.0,420690000000000.0,2.457e-05,-14.51155,2024-11-14T02:05:35.500Z,5.5142e-08,37984.63138,2023-04-18T02:14:41.591Z,,2024-11-16T15:55:13.917Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,5.42,7775502420,22,8213156143,645124432.0,5.52,4.92,0.497461,10.10941,696918236.0,9.84545,1438169368.6297,1519118501.53088,,54.98,-90.10869,2021-11-04T14:10:09.301Z,2.7,101.60968,2020-08-20T05:48:11.359Z,,2024-11-16T15:55:14.859Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,5.84,7126014536,23,7141416075,1259990672.0,6.37,5.32,0.483305,9.02241,603561744.0,9.2536,1217906155.0,1220538430.0,,20.44,-71.29824,2022-01-16T22:09:45.873Z,0.526762,1013.61418,2020-11-04T16:09:15.137Z,,2024-11-16T15:55:12.457Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,7.65,7069285385,24,7530792053,2077934.0,7.82,7.5,0.01100698,0.14412,13226896.0,0.18745,924861445.9,985239504.0,,8.14,-6.02089,2022-02-08T17:40:10.285Z,0.799859,855.85871,2019-12-24T15:14:35.376Z,,2024-11-16T15:55:11.002Z
