sub_category_url,product_name,price
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Kinder Mini Mix adventi kalendárium 113 g,2299
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Paw Patrol tejcsokoládé adventi naptár 50 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Merry Christmas tejcsokoládé 50 g,899
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Peppa Pig tejcsokoládé adventi naptár 50 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,My Little Pony tejcsokoládé adventi naptár 50 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Szerencsi Diabon Adventi Kalendárium tejcsokoládé fruktózzal 50 g,1499
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Moo Free tejmentes csokoládé Adventi naptár 70 g,3699
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Chocolate Mikulás belső tejes réteggel bevont tejcsokoládé figura 110 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Chocolate Mikulás belső tejes réteggel bevont tejcsokoládé figura 55 g,619
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Chocolate figura kakaóvajas és tejkaramellás bevonattal 110 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder tejcsokoládé figura meglepetéssel 75 g,1299
